,date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
24,1/3/2015,Quarter1,sweing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314
25,1/3/2015,Quarter1,sweing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800322936
26,1/3/2015,Quarter1,sweing,Saturday,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,0.800318644
27,1/3/2015,Quarter1,sweing,Saturday,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.800318644
28,1/3/2015,Quarter1,sweing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.800237288
29,1/3/2015,Quarter1,sweing,Saturday,5,0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800148649
30,1/3/2015,Quarter1,sweing,Saturday,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125
31,1/3/2015,Quarter1,sweing,Saturday,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125
32,1/3/2015,Quarter1,sweing,Saturday,10,0.75,19.31,610.0,6480,56,0.0,0,0,54.0,0.787299691
33,1/3/2015,Quarter1,finishing ,Saturday,2,0.8,4.15,N/A,960,0,0.0,0,0,8.0,0.782447917
34,1/3/2015,Quarter1,sweing,Saturday,2,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303
35,1/3/2015,Quarter1,finishing ,Saturday,10,0.7,4.15,N/A,960,0,0.0,0,0,8.0,0.7018125
36,1/3/2015,Quarter1,sweing,Saturday,4,0.7,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134038
37,1/3/2015,Quarter1,sweing,Saturday,9,0.7,28.08,1072.0,6900,40,0.0,0,0,57.5,0.699965217
38,1/3/2015,Quarter1,finishing ,Saturday,8,0.8,2.9,N/A,960,0,0.0,0,0,8.0,0.628333333
39,1/3/2015,Quarter1,finishing ,Saturday,7,0.8,3.94,N/A,960,0,0.0,0,0,8.0,0.6253125
40,1/4/2015,Quarter1,finishing ,Sunday,3,0.75,4.15,N/A,1560,0,0.0,0,0,8.0,0.991388889
41,1/4/2015,Quarter1,finishing ,Sunday,9,0.8,3.94,N/A,960,0,0.0,0,0,8.0,0.931645833
42,1/4/2015,Quarter1,finishing ,Sunday,1,0.8,3.94,N/A,960,0,0.0,0,0,8.0,0.915229167
43,1/4/2015,Quarter1,sweing,Sunday,6,0.8,11.61,539.0,6975,50,0.0,0,0,31.0,0.879714482
44,1/4/2015,Quarter1,finishing ,Sunday,4,0.8,3.94,N/A,6600,0,0.0,0,0,20.0,0.861679012
45,1/4/2015,Quarter1,sweing,Sunday,9,0.8,26.16,1278.0,7080,60,0.0,0,0,59.0,0.850569492
46,1/4/2015,Quarter1,sweing,Sunday,7,0.8,25.9,1227.0,7020,60,0.0,0,0,56.5,0.850436438
47,1/4/2015,Quarter1,sweing,Sunday,8,0.8,25.9,1039.0,6780,45,0.0,0,0,56.5,0.850345133
48,1/4/2015,Quarter1,sweing,Sunday,4,0.8,28.08,878.0,4260,50,0.0,0,0,55.5,0.800598058
49,1/4/2015,Quarter1,sweing,Sunday,1,0.8,26.16,1033.0,7080,63,0.0,0,0,59.0,0.800318644
50,1/4/2015,Quarter1,sweing,Sunday,2,0.8,28.08,782.0,6660,50,0.0,0,0,55.5,0.800237838
51,1/4/2015,Quarter1,sweing,Sunday,12,0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,0.800030199
52,1/4/2015,Quarter1,finishing ,Sunday,2,0.8,3.94,N/A,960,0,0.0,0,0,8.0,0.792104167
53,1/4/2015,Quarter1,finishing ,Sunday,10,0.7,3.94,N/A,4320,0,0.0,0,0,18.0,0.759228395
54,1/4/2015,Quarter1,sweing,Sunday,11,0.75,19.31,513.0,6480,45,0.0,0,0,54.0,0.750348457
55,1/4/2015,Quarter1,sweing,Sunday,3,0.75,19.87,734.0,6600,45,0.0,0,0,55.0,0.75024303
56,1/4/2015,Quarter1,sweing,Sunday,10,0.7,28.08,1202.0,6900,40,0.0,0,0,57.5,0.699965217
57,1/4/2015,Quarter1,finishing ,Sunday,8,0.8,2.9,N/A,960,0,0.0,0,0,8.0,0.682708333
58,1/4/2015,Quarter1,finishing ,Sunday,7,0.8,2.9,N/A,960,0,0.0,0,0,8.0,0.667604167
59,1/4/2015,Quarter1,sweing,Sunday,5,0.7,45.67,884.0,6960,26,0.0,0,0,58.0,0.603432184
60,1/4/2015,Quarter1,finishing ,Sunday,11,0.75,4.15,N/A,960,0,0.0,0,0,8.0,0.345833333
61,1/5/2015,Quarter1,finishing ,Monday,1,0.8,3.94,N/A,1920,0,0.0,0,0,8.0,0.961059028
62,1/5/2015,Quarter1,finishing ,Monday,11,0.8,3.94,N/A,2400,0,0.0,0,0,10.0,0.939513889
63,1/5/2015,Quarter1,finishing ,Monday,4,0.8,3.94,N/A,3840,0,0.0,0,0,16.0,0.893663194
64,1/5/2015,Quarter1,finishing ,Monday,3,0.75,4.15,N/A,1920,0,0.0,0,0,8.0,0.875390625
65,1/5/2015,Quarter1,sweing,Monday,9,0.8,26.16,1227.0,7080,75,0.0,0,0,59.0,0.850569492
66,1/5/2015,Quarter1,finishing ,Monday,9,0.8,2.9,N/A,1920,0,0.0,0,0,8.0,0.820833333
67,1/5/2015,Quarter1,finishing ,Monday,2,0.8,3.94,N/A,960,0,0.0,0,0,8.0,0.804416667
68,1/5/2015,Quarter1,sweing,Monday,7,0.8,25.9,1255.0,6780,50,0.0,0,0,56.5,0.800684366
69,1/5/2015,Quarter1,sweing,Monday,8,0.8,25.9,1047.0,6780,38,0.0,0,0,56.5,0.800684366
70,1/5/2015,Quarter1,sweing,Monday,1,0.8,26.16,1138.0,7080,63,0.0,0,0,59.0,0.800318644
71,1/5/2015,Quarter1,sweing,Monday,11,0.8,19.31,678.0,4800,50,0.0,0,0,55.0,0.800250962
72,1/5/2015,Quarter1,sweing,Monday,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.800246011
73,1/5/2015,Quarter1,sweing,Monday,12,0.8,11.61,1037.0,7200,50,0.0,0,0,32.0,0.800246011
74,1/5/2015,Quarter1,sweing,Monday,2,0.8,28.08,757.0,6900,50,0.0,0,0,57.5,0.800076522
75,1/5/2015,Quarter1,sweing,Monday,4,0.8,28.08,759.0,6900,50,0.0,0,0,57.5,0.800076522
76,1/5/2015,Quarter1,finishing ,Monday,10,0.75,2.9,N/A,960,0,0.0,0,0,8.0,0.763375
77,1/5/2015,Quarter1,finishing ,Monday,5,0.6,2.9,N/A,960,0,0.0,0,0,8.0,0.759270833
78,1/5/2015,Quarter1,sweing,Monday,10,0.75,28.08,1083.0,7020,45,0.0,0,0,58.5,0.7504
79,1/5/2015,Quarter1,sweing,Monday,3,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303
80,1/5/2015,Quarter1,finishing ,Monday,7,0.8,3.94,N/A,960,0,0.0,0,0,8.0,0.676666667
81,1/5/2015,Quarter1,finishing ,Monday,8,0.8,2.9,N/A,960,0,0.0,0,0,8.0,0.664583333
82,1/5/2015,Quarter1,sweing,Monday,5,0.6,21.98,666.0,6960,23,0.0,0,0,58.0,0.600028736
83,1/6/2015,Quarter1,finishing ,Tuesday,4,0.8,3.94,N/A,4440,0,0.0,0,0,18.0,0.966781346
84,1/6/2015,Quarter1,finishing ,Tuesday,1,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.936496212
85,1/6/2015,Quarter1,finishing ,Tuesday,3,0.75,4.15,N/A,1800,0,0.0,0,0,10.0,0.899166667
86,1/6/2015,Quarter1,finishing ,Tuesday,11,0.8,4.15,N/A,2700,0,0.0,0,0,15.0,0.888686869
87,1/6/2015,Quarter1,finishing ,Tuesday,9,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.858143939
88,1/6/2015,Quarter1,sweing,Tuesday,1,0.8,26.16,1187.0,10620,75,0.0,0,0,59.0,0.850502311
89,1/6/2015,Quarter1,sweing,Tuesday,9,0.8,26.16,1305.0,10620,75,0.0,0,0,59.0,0.850502311
90,1/6/2015,Quarter1,finishing ,Tuesday,10,0.75,3.94,N/A,1440,0,0.0,0,0,8.0,0.809640152
91,1/6/2015,Quarter1,finishing ,Tuesday,2,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.805909091
92,1/6/2015,Quarter1,sweing,Tuesday,2,0.8,28.08,716.0,10350,50,0.0,0,0,57.5,0.800594466
93,1/6/2015,Quarter1,sweing,Tuesday,4,0.8,28.08,925.0,10350,50,0.0,0,0,57.5,0.800594466
94,1/6/2015,Quarter1,sweing,Tuesday,3,0.8,19.87,963.0,9900,50,0.0,0,0,55.0,0.800273829
95,1/6/2015,Quarter1,sweing,Tuesday,12,0.8,11.61,1101.0,5310,50,0.0,0,0,31.5,0.800140969
96,1/6/2015,Quarter1,sweing,Tuesday,7,0.8,25.9,1035.0,10170,38,0.0,0,0,56.5,0.800128721
97,1/6/2015,Quarter1,sweing,Tuesday,8,0.8,25.9,1083.0,10170,38,0.0,0,0,56.5,0.800128721
98,1/6/2015,Quarter1,sweing,Tuesday,6,0.8,11.61,910.0,4470,38,0.0,0,0,31.5,0.80007657
99,1/6/2015,Quarter1,sweing,Tuesday,10,0.75,28.08,1209.0,10530,45,0.0,0,0,58.5,0.750545455
100,1/6/2015,Quarter1,sweing,Tuesday,11,0.75,19.31,590.0,9900,45,0.0,0,0,55.0,0.750057851
101,1/6/2015,Quarter1,finishing ,Tuesday,8,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.681060606
102,1/6/2015,Quarter1,sweing,Tuesday,5,0.65,21.98,808.0,10440,35,0.0,0,0,58.0,0.649983281
103,1/6/2015,Quarter1,finishing ,Tuesday,7,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.61625
104,1/7/2015,Quarter1,finishing ,Wednesday,1,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.951420455
105,1/7/2015,Quarter1,finishing ,Wednesday,9,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.880530303
106,1/7/2015,Quarter1,sweing,Wednesday,1,0.8,26.16,1179.0,10620,75,0.0,0,0,59.0,0.850502311
107,1/7/2015,Quarter1,sweing,Wednesday,9,0.8,26.16,1324.0,10620,75,0.0,0,0,59.0,0.850502311
108,1/7/2015,Quarter1,sweing,Wednesday,8,0.8,25.9,1135.0,10170,60,0.0,0,0,56.5,0.850136766
109,1/7/2015,Quarter1,finishing ,Wednesday,3,0.75,4.15,N/A,2700,0,0.0,0,0,15.0,0.83
110,1/7/2015,Quarter1,finishing ,Wednesday,4,0.8,3.94,N/A,4440,0,0.0,0,0,18.0,0.827186544
111,1/7/2015,Quarter1,finishing ,Wednesday,2,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.813371212
112,1/7/2015,Quarter1,finishing ,Wednesday,10,0.75,3.94,N/A,1440,0,0.0,0,0,8.0,0.805909091
113,1/7/2015,Quarter1,finishing ,Wednesday,7,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.804640152
114,1/7/2015,Quarter1,sweing,Wednesday,2,0.8,28.08,776.0,10350,63,0.0,0,0,57.5,0.800594466
115,1/7/2015,Quarter1,sweing,Wednesday,4,0.8,28.08,990.0,10350,50,0.0,0,0,57.5,0.800594466
116,1/7/2015,Quarter1,sweing,Wednesday,6,0.8,11.41,986.0,5490,50,0.0,0,0,30.5,0.800343766
117,1/7/2015,Quarter1,sweing,Wednesday,3,0.8,19.87,924.0,9900,50,0.0,0,0,55.0,0.800273829
118,1/7/2015,Quarter1,sweing,Wednesday,12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,0.800246753
119,1/7/2015,Quarter1,sweing,Wednesday,7,0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,0.800128721
120,1/7/2015,Quarter1,sweing,Wednesday,10,0.75,28.08,1144.0,10530,69,0.0,0,0,58.5,0.8
121,1/7/2015,Quarter1,sweing,Wednesday,5,0.7,21.98,413.0,9720,40,0.0,0,0,58.0,0.700480831
122,1/7/2015,Quarter1,finishing ,Wednesday,8,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.681060606
123,1/7/2015,Quarter1,finishing ,Wednesday,6,0.8,2.9,N/A,1800,0,0.0,0,0,10.0,0.666515152
124,1/7/2015,Quarter1,sweing,Wednesday,11,0.8,31.83,568.0,9900,40,0.0,0,0,55.0,0.412119835
125,1/7/2015,Quarter1,finishing ,Wednesday,5,0.7,4.15,N/A,1440,0,0.0,0,0,8.0,0.330113636
126,1/8/2015,Quarter2,finishing ,Thursday,1,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.947689394
127,1/8/2015,Quarter2,finishing ,Thursday,4,0.8,3.94,N/A,12600,0,0.0,0,0,20.0,0.919905405
128,1/8/2015,Quarter2,sweing,Thursday,9,0.8,26.16,1216.0,10620,88,0.0,0,0,59.0,0.900215716
129,1/8/2015,Quarter2,finishing ,Thursday,9,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.891723485
130,1/8/2015,Quarter2,sweing,Thursday,1,0.8,26.16,1189.0,10620,75,0.0,0,0,59.0,0.850502311
131,1/8/2015,Quarter2,sweing,Thursday,4,0.8,28.08,942.0,10530,75,0.0,0,0,58.5,0.850181818
132,1/8/2015,Quarter2,sweing,Thursday,7,0.8,25.9,1050.0,10170,60,0.0,0,0,56.5,0.850136766
133,1/8/2015,Quarter2,sweing,Thursday,8,0.8,25.9,1026.0,10170,60,0.0,0,0,56.5,0.850136766
134,1/8/2015,Quarter2,finishing ,Thursday,2,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.835757576
135,1/8/2015,Quarter2,finishing ,Thursday,5,0.7,4.15,N/A,3840,0,0.0,0,0,8.0,0.821354167
136,1/8/2015,Quarter2,sweing,Thursday,2,0.8,28.08,783.0,10050,63,0.0,0,0,58.5,0.800497246
137,1/8/2015,Quarter2,sweing,Thursday,3,0.8,19.87,857.0,9900,50,0.0,0,0,55.0,0.800273829
138,1/8/2015,Quarter2,sweing,Thursday,12,0.8,11.61,548.0,15120,63,0.0,0,0,31.5,0.800107143
139,1/8/2015,Quarter2,sweing,Thursday,6,0.8,11.41,411.0,14640,50,0.0,0,0,30.5,0.800024932
140,1/8/2015,Quarter2,sweing,Thursday,10,0.75,28.08,1066.0,10530,69,0.0,0,0,58.5,0.8
141,1/8/2015,Quarter2,finishing ,Thursday,10,0.75,3.94,N/A,1440,0,0.0,0,0,8.0,0.779791667
142,1/8/2015,Quarter2,finishing ,Thursday,8,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.735984848
143,1/8/2015,Quarter2,finishing ,Thursday,3,0.75,4.15,N/A,2160,0,0.0,0,0,12.0,0.712626263
144,1/8/2015,Quarter2,finishing ,Thursday,7,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.681060606
145,1/8/2015,Quarter2,finishing ,Thursday,11,0.8,4.15,N/A,900,0,0.0,0,0,5.0,0.515606061
146,1/8/2015,Quarter2,sweing,Thursday,11,0.35,12.52,287.0,25920,38,0.0,0,0,54.0,0.349951389
147,1/8/2015,Quarter2,sweing,Thursday,5,0.7,42.41,724.0,10260,0,0.0,0,0,57.0,0.233705476
148,1/10/2015,Quarter2,finishing ,Saturday,1,0.8,3.94,N/A,2160,0,0.0,0,0,8.0,0.985
149,1/10/2015,Quarter2,finishing ,Saturday,3,0.75,4.15,N/A,2760,0,0.0,0,0,12.0,0.930340376
150,1/10/2015,Quarter2,finishing ,Saturday,4,0.8,3.94,N/A,6000,0,0.0,0,0,20.0,0.911589744
151,1/10/2015,Quarter2,finishing ,Saturday,9,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.858143939
152,1/10/2015,Quarter2,sweing,Saturday,9,0.8,26.16,1122.0,10620,75,0.0,0,0,59.0,0.851174114
153,1/10/2015,Quarter2,sweing,Saturday,7,0.8,25.9,970.0,10170,60,0.0,0,0,56.5,0.850136766
154,1/10/2015,Quarter2,sweing,Saturday,8,0.8,25.9,1158.0,10170,60,0.0,0,0,56.5,0.850136766
155,1/10/2015,Quarter2,finishing ,Saturday,10,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.846950758
156,1/10/2015,Quarter2,finishing ,Saturday,11,0.8,4.15,N/A,1440,0,0.0,0,0,8.0,0.817424242
157,1/10/2015,Quarter2,finishing ,Saturday,2,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.817102273
158,1/10/2015,Quarter2,sweing,Saturday,4,0.8,28.08,660.0,10440,63,0.0,0,0,58.0,0.801028213
159,1/10/2015,Quarter2,sweing,Saturday,2,0.8,28.08,749.0,10350,63,0.0,0,0,57.5,0.800594466
160,1/10/2015,Quarter2,sweing,Saturday,12,0.8,11.61,893.0,4710,50,0.0,0,0,31.5,0.800346445
161,1/10/2015,Quarter2,sweing,Saturday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766
162,1/10/2015,Quarter2,sweing,Saturday,1,0.8,26.16,1335.0,10620,63,0.0,0,0,59.0,0.800117103
163,1/10/2015,Quarter2,sweing,Saturday,10,0.8,28.08,1082.0,10530,63,0.0,0,0,58.5,0.8
164,1/10/2015,Quarter2,sweing,Saturday,3,0.75,19.87,1075.0,7080,45,0.0,0,0,56.0,0.750098351
165,1/10/2015,Quarter2,sweing,Saturday,11,0.5,12.52,749.0,9540,38,0.0,0,0,53.0,0.673245283
166,1/10/2015,Quarter2,finishing ,Saturday,7,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.670075758
167,1/10/2015,Quarter2,finishing ,Saturday,8,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.628882576
168,1/10/2015,Quarter2,sweing,Saturday,5,0.5,20.79,966.0,7680,0,0.0,0,0,56.0,0.388007813
169,1/10/2015,Quarter2,finishing ,Saturday,5,0.5,4.15,N/A,1440,0,0.0,0,0,8.0,0.337973485
170,1/11/2015,Quarter2,finishing ,Sunday,3,0.75,4.15,N/A,1440,0,0.0,0,0,8.0,0.93532197
171,1/11/2015,Quarter2,finishing ,Sunday,4,0.8,3.94,N/A,3600,0,0.0,0,0,20.0,0.925643939
172,1/11/2015,Quarter2,sweing,Sunday,9,0.8,26.16,1095.0,10620,88,0.0,0,0,59.0,0.900215716
173,1/11/2015,Quarter2,finishing ,Sunday,1,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.873068182
174,1/11/2015,Quarter2,finishing ,Sunday,9,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.858143939
175,1/11/2015,Quarter2,sweing,Sunday,1,0.8,26.16,1383.0,10620,75,0.0,0,0,59.0,0.850502311
176,1/11/2015,Quarter2,sweing,Sunday,7,0.8,25.9,1012.0,10170,45,0.0,0,0,56.5,0.850136766
177,1/11/2015,Quarter2,sweing,Sunday,8,0.8,25.9,1209.0,10170,60,0.0,0,0,56.5,0.850136766
178,1/11/2015,Quarter2,finishing ,Sunday,10,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.828295455
179,1/11/2015,Quarter2,finishing ,Sunday,2,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.820833333
180,1/11/2015,Quarter2,sweing,Sunday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766
181,1/11/2015,Quarter2,sweing,Sunday,12,0.8,11.61,896.0,5670,50,0.0,0,0,31.5,0.800246753
182,1/11/2015,Quarter2,sweing,Sunday,2,0.8,28.08,805.0,10530,63,0.0,0,0,58.5,0.8
183,1/11/2015,Quarter2,sweing,Sunday,10,0.8,28.08,762.0,10530,38,0.0,0,0,58.5,0.8
184,1/11/2015,Quarter2,sweing,Sunday,3,0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,0.690182815
185,1/11/2015,Quarter2,finishing ,Sunday,11,0.8,4.15,N/A,1440,0,0.0,0,0,8.0,0.668087121
186,1/11/2015,Quarter2,finishing ,Sunday,8,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.653598485
187,1/11/2015,Quarter2,finishing ,Sunday,5,0.5,4.15,N/A,1440,0,0.0,0,0,8.0,0.609138258
188,1/11/2015,Quarter2,sweing,Sunday,11,0.6,12.52,831.0,9540,30,0.0,0,0,53.0,0.600229846
189,1/11/2015,Quarter2,finishing ,Sunday,6,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.597348485
190,1/11/2015,Quarter2,finishing ,Sunday,7,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.590435606
191,1/11/2015,Quarter2,sweing,Sunday,4,0.8,50.48,562.0,10440,0,0.0,0,0,58.0,0.473134796
192,1/11/2015,Quarter2,sweing,Sunday,5,0.6,20.79,1208.0,7980,0,0.0,0,0,57.0,0.452979626
193,1/12/2015,Quarter2,finishing ,Monday,1,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.955151515
194,1/12/2015,Quarter2,finishing ,Monday,4,0.35,4.3,N/A,3240,0,0.0,0,0,18.0,0.942213805
195,1/12/2015,Quarter2,finishing ,Monday,3,0.8,4.15,N/A,1800,0,0.0,0,0,10.0,0.905454545
196,1/12/2015,Quarter2,finishing ,Monday,2,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.880530303
197,1/12/2015,Quarter2,finishing ,Monday,9,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.858143939
198,1/12/2015,Quarter2,sweing,Monday,1,0.8,26.16,1099.0,8220,75,0.0,0,0,59.0,0.850522167
199,1/12/2015,Quarter2,sweing,Monday,9,0.8,26.16,1093.0,10620,75,0.0,0,0,59.0,0.850502311
200,1/12/2015,Quarter2,sweing,Monday,7,0.8,25.9,1031.0,10170,60,0.0,0,0,56.5,0.850136766
201,1/12/2015,Quarter2,sweing,Monday,8,0.8,25.9,1233.0,10170,60,0.0,0,0,56.5,0.850136766
202,1/12/2015,Quarter2,finishing ,Monday,6,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.817424242
203,1/12/2015,Quarter2,finishing ,Monday,5,0.65,4.15,N/A,1440,0,0.0,0,0,8.0,0.809564394
204,1/12/2015,Quarter2,sweing,Monday,3,0.8,19.87,941.0,9900,0,0.0,0,0,55.0,0.800273829
205,1/12/2015,Quarter2,sweing,Monday,6,0.8,11.41,843.0,5670,50,0.0,0,0,31.5,0.800181818
206,1/12/2015,Quarter2,sweing,Monday,12,0.8,11.61,760.0,4470,50,0.0,0,0,31.5,0.80007657
207,1/12/2015,Quarter2,sweing,Monday,2,0.8,28.08,737.0,10530,63,0.0,0,0,58.5,0.8
208,1/12/2015,Quarter2,finishing ,Monday,8,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.725
209,1/12/2015,Quarter2,sweing,Monday,10,0.8,50.48,381.0,6930,45,0.0,0,0,58.5,0.688557555
210,1/12/2015,Quarter2,sweing,Monday,5,0.65,20.79,1141.0,8460,0,0.0,0,0,59.0,0.650040783
211,1/12/2015,Quarter2,sweing,Monday,11,0.65,12.52,1004.0,9540,44,0.0,0,0,53.0,0.64998056
212,1/12/2015,Quarter2,finishing ,Monday,7,0.8,2.9,N/A,1440,0,0.0,0,0,8.0,0.648106061
213,1/12/2015,Quarter2,finishing ,Monday,11,0.8,4.15,N/A,1440,0,0.0,0,0,8.0,0.640577652
214,1/12/2015,Quarter2,sweing,Monday,4,0.35,22.4,581.0,7350,0,0.0,0,0,51.5,0.35063299
215,1/12/2015,Quarter2,finishing ,Monday,10,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.24625
216,1/13/2015,Quarter2,finishing ,Tuesday,4,0.35,4.3,N/A,2160,0,0.0,0,0,12.0,0.952020202
217,1/13/2015,Quarter2,finishing ,Tuesday,1,0.8,3.94,N/A,1440,0,0.0,0,0,2.0,0.951420455
218,1/13/2015,Quarter2,finishing ,Tuesday,10,0.8,3.94,N/A,5400,0,0.0,0,0,20.0,0.912766667
219,1/13/2015,Quarter2,finishing ,Tuesday,3,0.8,4.15,N/A,1620,0,0.0,0,0,9.0,0.901262626
220,1/13/2015,Quarter2,finishing ,Tuesday,9,0.8,3.94,N/A,1440,0,0.0,0,0,8.0,0.858143939
221,1/13/2015,Quarter2,sweing,Tuesday,1,0.8,26.16,1073.0,10620,75,0.0,0,0,59.0,0.850502311
222,1/13/2015,Quarter2,sweing,Tuesday,9,0.8,26.16,1156.0,10620,75,0.0,0,0,59.0,0.850502311
223,1/13/2015,Quarter2,sweing,Tuesday,8,0.8,25.9,1211.0,10260,60,0.0,0,0,57.0,0.850252525
224,1/13/2015,Quarter2,sweing,Tuesday,7,0.8,25.9,1126.0,10170,60,0.0,0,0,56.5,0.850136766
